# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  125       4.994986096992e-10       1.254491677636e-13      -4.964308149953e-12       0.000000000000e+00       4.398866125441e-12       8.478645190286e-13      -4.784745388865e-15 
  126       5.043077622514e-10       1.265372724612e-13      -5.034289559971e-12       0.000000000000e+00       4.300312796891e-12       8.341496287641e-13      -4.739468115772e-15 
  127       5.091212531421e-10       1.275800805545e-13      -5.102904347124e-12       0.000000000000e+00       4.204531163225e-12       8.207601928106e-13      -4.694361528930e-15 
  128       5.139383465290e-10       1.285766332554e-13      -5.170090604927e-12       0.000000000000e+00       4.111488773358e-12       8.076921399146e-13      -4.649378157187e-15 
  129       5.187582422621e-10       1.295260043651e-13      -5.235786537462e-12       0.000000000000e+00       4.021138329090e-12       7.949393834368e-13      -4.604462819772e-15 
  130       5.235800740374e-10       1.304273013649e-13      -5.299930485792e-12       0.000000000000e+00       3.933417288984e-12       7.824937667891e-13      -4.559552427801e-15 
  131       5.284029075505e-10       1.312796665059e-13      -5.362460954386e-12       0.000000000000e+00       3.848247472248e-12       7.703450088711e-13      -4.514575785788e-15 
  132       5.332257386502e-10       1.320822778991e-13      -5.423316637540e-12       0.000000000000e+00       3.765534662615e-12       7.584806495067e-13      -4.469453393149e-15 
  133       5.380474914918e-10       1.328343506053e-13      -5.482436445795e-12       0.000000000000e+00       3.685168212229e-12       7.468859948810e-13      -4.424097245710e-15 
  134       5.428670166913e-10       1.335351377257e-13      -5.539759532363e-12       0.000000000000e+00       3.607020645518e-12       7.355440629768e-13      -4.378410637218e-15 
  135       5.476830894780e-10       1.341839314915e-13      -5.595225319547e-12       0.000000000000e+00       3.530947263083e-12       7.244355290113e-13      -4.332287960842e-15 
  136       5.524944078489e-10       1.347800643542e-13      -5.648773525159e-12       0.000000000000e+00       3.456785745573e-12       7.135386708730e-13      -4.285614510690e-15 
  137       5.572997116073e-10       1.353229411716e-13      -5.700344727773e-12       0.000000000000e+00       3.384390384237e-12       7.028340846587e-13      -4.238292180522e-15 
  138       5.620981572900e-10       1.358121372178e-13      -5.749882072560e-12       0.000000000000e+00       3.313739608785e-12       6.923194975038e-13      -4.190319981415e-15 
  139       5.668889787171e-10       1.362473124290e-13      -5.797329792889e-12       0.000000000000e+00       3.244838887163e-12       6.819963912533e-13      -4.141721518439e-15 
  140       5.716713685185e-10       1.366281824935e-13      -5.842632716899e-12       0.000000000000e+00       3.177686922557e-12       6.718653458334e-13      -4.092519807230e-15 
  141       5.764444770545e-10       1.369545201388e-13      -5.885736297343e-12       0.000000000000e+00       3.112275477056e-12       6.619260149653e-13      -4.042737239874e-15 
  142       5.812074113373e-10       1.372261564192e-13      -5.926586641424e-12       0.000000000000e+00       3.048589195316e-12       6.521771018783e-13      -3.992395550784e-15 
