# Matter power spectrum P(k) at redshift z=0
# for k=1.0756e-05 to 5.05928 h/Mpc,
# number of wavenumbers equal to 541
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       5.379324843988e-01       1.444446785169e+02 
       5.415032872083e-01       1.422016167930e+02 
       5.450740901802e-01       1.400192932610e+02 
       5.486448933114e-01       1.378955947712e+02 
       5.522156965987e-01       1.358266087280e+02 
       5.557865000392e-01       1.338078612325e+02 
       5.593573036298e-01       1.318355783087e+02 
       5.629281073678e-01       1.299072677805e+02 
       5.664989112502e-01       1.280207380004e+02 
       5.700697152745e-01       1.261739789979e+02 
       5.736405194380e-01       1.243637927652e+02 
       5.772113237379e-01       1.225867191840e+02 
       5.807821281720e-01       1.208392314100e+02 
       5.843529327376e-01       1.191191150339e+02 
       6.098397426237e-01       1.076815141208e+02 
       6.378903231634e-01       9.681078215905e+01 
       6.692038497302e-01       8.641683711436e+01 
       7.048163488117e-01       7.632809208345e+01 
       7.463437217773e-01       6.652027053378e+01 
       7.964709666330e-01       5.682381848661e+01 
       8.600179829467e-01       4.710950602345e+01 
       9.464302519305e-01       3.720916972383e+01 
       1.075486079358e+00       2.707523961444e+01 
       1.284175573607e+00       1.732392011560e+01 
       1.600519965090e+00       9.862992451924e+00 
       2.014142923753e+00       5.427075444328e+00 
       2.535647467398e+00       2.956714792333e+00 
       3.192191017031e+00       1.597619284614e+00 
       4.018730390638e+00       8.566833488905e-01 
       5.059281811924e+00       4.561239206307e-01 
